Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
0.214; 0.213; 0; 0.001; 0; N/A; 0.126667; 0; 0.003; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 43.1045; 43.1045; 43.1045; N/A; 0; 0; false; properties/0001__ti_k_neighborhood_proj__karypis_sport__sparse__1000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_4_27.txt
0.809; 0.807; 0; 0.002; 0; N/A; 0.249333; 0; 0.00666667; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 12.0416; 12.0416; 12.0416; N/A; 0; 0; false; properties/0002__ti_k_neighborhood_proj__karypis_sport__sparse__2000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_4_58.txt
3.43633; 3.432; 0; 0.004; 0; N/A; 0.496667; 0; 0.045; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 14.2478; 14.2478; 14.2478; N/A; 0; 0; false; properties/0003__ti_k_neighborhood_proj__karypis_sport__sparse__4000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_5_43.txt
7.82967; 7.82333; 0; 0.00633333; 0; N/A; 0.725667; 0; 0.0953333; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 29.4958; 29.4958; 29.4958; N/A; 0; 0; false; properties/0004__ti_k_neighborhood_proj__karypis_sport__sparse__6000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_6_52.txt
14.077; 14.068; 0; 0.00833333; 0.000333333; N/A; 0.961667; 0; 0.193; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 8000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 30.3974; 30.3974; 30.3974; N/A; 0; 0; false; properties/0005__ti_k_neighborhood_proj__karypis_sport__sparse__8000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_8_34.txt
0.0733333; 0.073; 0; 0; 0; N/A; 0.0836667; 0; 0.00166667; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 500; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 27.7669; 27.7669; 27.7669; N/A; 0; 0; false; properties/0006__ti_k_neighborhood_proj__karypis_reviews__sparse__500__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_9_17.txt
0.287333; 0.287; 0; 0.000666667; 0; N/A; 0.156667; 0; 0.00666667; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 20.8087; 20.8087; 20.8087; N/A; 0; 0; false; properties/0007__ti_k_neighborhood_proj__karypis_reviews__sparse__1000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_9_45.txt
1.25867; 1.25733; 0; 0.001; 0; N/A; 0.326; 0; 0.009; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 24.2074; 24.2074; 24.2074; N/A; 0; 0; false; properties/0008__ti_k_neighborhood_proj__karypis_reviews__sparse__2000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_10_19.txt
2.813; 2.811; 0; 0.002; 0; N/A; 0.477667; 0; 0.0123333; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 3000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 11.4018; 11.4018; 11.4018; N/A; 0; 0; false; properties/0009__ti_k_neighborhood_proj__karypis_reviews__sparse__3000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_11_1.txt
5.088; 5.085; 0; 0.00266667; 0; N/A; 0.649333; 0; 0.0253333; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 4000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 31.9844; 31.9844; 31.9844; N/A; 0; 0; false; properties/0010__ti_k_neighborhood_proj__karypis_reviews__sparse__4000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_11_57.txt
0.440667; 0.320333; 0; 0.118; 0.002; N/A; 0.286667; 0; 0.207; classification; ti_k_neighborhood_ref_projection; false; datasets/dense_d55_r581012_covtype.txt; 10000; 55; 0; dense; [0]; dmax; d1; 10; binary; true; 5; N/A; 41.7971; 170.363; 541.394; N/A; 0; 0; false; properties/0011__ti_k_neighborhood_proj__covtype__dense__10000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_12_47.txt
6.31567; 4.02633; 0.001; 2.33533; 0.013; N/A; 2.28733; 0; 1.24133; classification; ti_k_neighborhood_ref_projection; false; datasets/dense_d55_r581012_covtype.txt; 50000; 55; 0; dense; [0]; dmax; d1; 10; binary; true; 5; N/A; 27.3496; 71.9523; 573.599; N/A; 0; 0; false; properties/0012__ti_k_neighborhood_proj__covtype__dense__50000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_14_55.txt
14.688; 9.83267; 0.00133333; 4.89133; 0.028; N/A; 4.18; 0; 4.02; classification; ti_k_neighborhood_ref_projection; false; datasets/dense_d55_r581012_covtype.txt; 100000; 55; 0; dense; [0]; dmax; d1; 10; binary; true; 5; N/A; 27.0185; 57.633; 573.599; N/A; 0; 0; false; properties/0013__ti_k_neighborhood_proj__covtype__dense__100000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_19_25.txt
97.51; 82.223; 0.003; 15.2303; 0.100667; N/A; 11.0573; 0; 16.773; classification; ti_k_neighborhood_ref_projection; false; datasets/dense_d55_r581012_covtype.txt; 300000; 55; 0; dense; [0]; dmax; d1; 10; binary; true; 5; N/A; 16.5831; 50.976; 573.599; N/A; 0; 0; false; properties/0014__ti_k_neighborhood_proj__covtype__dense__300000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_36_42.txt
282.743; 256.854; 0.005; 26.0913; 0.181667; N/A; 17.9877; 0; 28.6443; classification; ti_k_neighborhood_ref_projection; false; datasets/dense_d55_r581012_covtype.txt; 500000; 55; 0; dense; [0]; dmax; d1; 10; binary; true; 5; N/A; 18.9209; 50.3703; 573.599; N/A; 0; 0; false; properties/0015__ti_k_neighborhood_proj__covtype__dense__500000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_2_16_34.txt
