Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
0.215; 0.214; 0; 0.001; 0; N/A; 0.096; 0; 0.002; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 43.1045; 43.1045; 43.1045; N/A; 0; 0; false; properties/0001__ti_k_neighborhood_proj__karypis_sport__sparse__1000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_4_4.txt
0.214; 0.213; 0; 0.001; 0; N/A; 0.13; 0; 0.003; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 43.1045; 43.1045; 43.1045; N/A; 0; 0; false; properties/0001__ti_k_neighborhood_proj__karypis_sport__sparse__1000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_4_10.txt
0.214; 0.213; 0; 0.001; 0; N/A; 0.135; 0; 0.003; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 43.1045; 43.1045; 43.1045; N/A; 0; 0; false; properties/0001__ti_k_neighborhood_proj__karypis_sport__sparse__1000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_4_16.txt
0.214; 0.213; 0; 0.001; 0; N/A; 0.129; 0; 0.003; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 43.1045; 43.1045; 43.1045; N/A; 0; 0; false; properties/0001__ti_k_neighborhood_proj__karypis_sport__sparse__1000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_4_21.txt
0.213; 0.213; 0; 0; 0; N/A; 0.121; 0; 0.004; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 43.1045; 43.1045; 43.1045; N/A; 0; 0; false; properties/0001__ti_k_neighborhood_proj__karypis_sport__sparse__1000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_4_27.txt
0.807; 0.806; 0; 0.001; 0; N/A; 0.249; 0; 0.006; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 12.0416; 12.0416; 12.0416; N/A; 0; 0; false; properties/0002__ti_k_neighborhood_proj__karypis_sport__sparse__2000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_4_32.txt
0.809; 0.807; 0; 0.002; 0; N/A; 0.255; 0; 0.008; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 12.0416; 12.0416; 12.0416; N/A; 0; 0; false; properties/0002__ti_k_neighborhood_proj__karypis_sport__sparse__2000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_4_39.txt
0.809; 0.807; 0; 0.002; 0; N/A; 0.253; 0; 0.007; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 12.0416; 12.0416; 12.0416; N/A; 0; 0; false; properties/0002__ti_k_neighborhood_proj__karypis_sport__sparse__2000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_4_45.txt
0.809; 0.807; 0; 0.002; 0; N/A; 0.246; 0; 0.005; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 12.0416; 12.0416; 12.0416; N/A; 0; 0; false; properties/0002__ti_k_neighborhood_proj__karypis_sport__sparse__2000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_4_52.txt
0.814; 0.812; 0; 0.002; 0; N/A; 0.234; 0; 0.007; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 12.0416; 12.0416; 12.0416; N/A; 0; 0; false; properties/0002__ti_k_neighborhood_proj__karypis_sport__sparse__2000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_4_58.txt
3.461; 3.459; 0; 0.002; 0; N/A; 0.481; 0; 0.012; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 14.2478; 14.2478; 14.2478; N/A; 0; 0; false; properties/0003__ti_k_neighborhood_proj__karypis_sport__sparse__4000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_5_4.txt
3.427; 3.423; 0; 0.004; 0; N/A; 0.522; 0; 0.043; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 14.2478; 14.2478; 14.2478; N/A; 0; 0; false; properties/0003__ti_k_neighborhood_proj__karypis_sport__sparse__4000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_5_14.txt
3.427; 3.423; 0; 0.004; 0; N/A; 0.504; 0; 0.052; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 14.2478; 14.2478; 14.2478; N/A; 0; 0; false; properties/0003__ti_k_neighborhood_proj__karypis_sport__sparse__4000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_5_24.txt
3.453; 3.449; 0; 0.004; 0; N/A; 0.503; 0; 0.049; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 14.2478; 14.2478; 14.2478; N/A; 0; 0; false; properties/0003__ti_k_neighborhood_proj__karypis_sport__sparse__4000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_5_34.txt
3.429; 3.424; 0; 0.004; 0.001; N/A; 0.483; 0; 0.043; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 14.2478; 14.2478; 14.2478; N/A; 0; 0; false; properties/0003__ti_k_neighborhood_proj__karypis_sport__sparse__4000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_5_43.txt
7.808; 7.802; 0; 0.006; 0; N/A; 0.705; 0; 0.092; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 29.4958; 29.4958; 29.4958; N/A; 0; 0; false; properties/0004__ti_k_neighborhood_proj__karypis_sport__sparse__6000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_5_53.txt
7.802; 7.792; 0.001; 0.009; 0; N/A; 0.739; 0; 0.097; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 29.4958; 29.4958; 29.4958; N/A; 0; 0; false; properties/0004__ti_k_neighborhood_proj__karypis_sport__sparse__6000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_6_8.txt
7.863; 7.857; 0; 0.006; 0; N/A; 0.729; 0; 0.098; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 29.4958; 29.4958; 29.4958; N/A; 0; 0; false; properties/0004__ti_k_neighborhood_proj__karypis_sport__sparse__6000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_6_23.txt
7.82; 7.814; 0; 0.006; 0; N/A; 0.737; 0; 0.097; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 29.4958; 29.4958; 29.4958; N/A; 0; 0; false; properties/0004__ti_k_neighborhood_proj__karypis_sport__sparse__6000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_6_37.txt
7.861; 7.854; 0; 0.007; 0; N/A; 0.711; 0; 0.091; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 29.4958; 29.4958; 29.4958; N/A; 0; 0; false; properties/0004__ti_k_neighborhood_proj__karypis_sport__sparse__6000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_6_52.txt
14.169; 14.164; 0; 0.005; 0; N/A; 0.932; 0; 0.028; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 8000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 30.3974; 30.3974; 30.3974; N/A; 0; 0; false; properties/0005__ti_k_neighborhood_proj__karypis_sport__sparse__8000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_7_7.txt
14.094; 14.084; 0; 0.01; 0; N/A; 0.954; 0; 0.2; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 8000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 30.3974; 30.3974; 30.3974; N/A; 0; 0; false; properties/0005__ti_k_neighborhood_proj__karypis_sport__sparse__8000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_7_29.txt
14.072; 14.063; 0; 0.008; 0.001; N/A; 0.967; 0; 0.192; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 8000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 30.3974; 30.3974; 30.3974; N/A; 0; 0; false; properties/0005__ti_k_neighborhood_proj__karypis_sport__sparse__8000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_7_51.txt
14.065; 14.057; 0; 0.008; 0; N/A; 0.964; 0; 0.191; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 8000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 30.3974; 30.3974; 30.3974; N/A; 0; 0; false; properties/0005__ti_k_neighborhood_proj__karypis_sport__sparse__8000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_8_13.txt
14.063; 14.053; 0; 0.009; 0.001; N/A; 0.976; 0; 0.196; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 8000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 30.3974; 30.3974; 30.3974; N/A; 0; 0; false; properties/0005__ti_k_neighborhood_proj__karypis_sport__sparse__8000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_8_34.txt
0.073; 0.073; 0; 0; 0; N/A; 0.097; 0; 0.001; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 500; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 27.7669; 27.7669; 27.7669; N/A; 0; 0; false; properties/0006__ti_k_neighborhood_proj__karypis_reviews__sparse__500__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_8_56.txt
0.074; 0.074; 0; 0; 0; N/A; 0.081; 0; 0.002; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 500; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 27.7669; 27.7669; 27.7669; N/A; 0; 0; false; properties/0006__ti_k_neighborhood_proj__karypis_reviews__sparse__500__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_9_1.txt
0.074; 0.073; 0; 0.001; 0; N/A; 0.09; 0; 0.001; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 500; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 27.7669; 27.7669; 27.7669; N/A; 0; 0; false; properties/0006__ti_k_neighborhood_proj__karypis_reviews__sparse__500__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_9_7.txt
0.073; 0.073; 0; 0; 0; N/A; 0.073; 0; 0.002; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 500; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 27.7669; 27.7669; 27.7669; N/A; 0; 0; false; properties/0006__ti_k_neighborhood_proj__karypis_reviews__sparse__500__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_9_12.txt
0.073; 0.073; 0; 0; 0; N/A; 0.08; 0; 0.002; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 500; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 27.7669; 27.7669; 27.7669; N/A; 0; 0; false; properties/0006__ti_k_neighborhood_proj__karypis_reviews__sparse__500__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_9_17.txt
0.288; 0.287; 0; 0.001; 0; N/A; 0.161; 0; 0.002; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 20.8087; 20.8087; 20.8087; N/A; 0; 0; false; properties/0007__ti_k_neighborhood_proj__karypis_reviews__sparse__1000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_9_22.txt
0.287; 0.286; 0; 0.001; 0; N/A; 0.154; 0; 0.007; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 20.8087; 20.8087; 20.8087; N/A; 0; 0; false; properties/0007__ti_k_neighborhood_proj__karypis_reviews__sparse__1000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_9_28.txt
0.287; 0.287; 0; 0; 0; N/A; 0.143; 0; 0.007; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 20.8087; 20.8087; 20.8087; N/A; 0; 0; false; properties/0007__ti_k_neighborhood_proj__karypis_reviews__sparse__1000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_9_34.txt
0.287; 0.287; 0; 0; 0; N/A; 0.159; 0; 0.007; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 20.8087; 20.8087; 20.8087; N/A; 0; 0; false; properties/0007__ti_k_neighborhood_proj__karypis_reviews__sparse__1000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_9_39.txt
0.288; 0.287; 0; 0.001; 0; N/A; 0.157; 0; 0.006; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 20.8087; 20.8087; 20.8087; N/A; 0; 0; false; properties/0007__ti_k_neighborhood_proj__karypis_reviews__sparse__1000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_9_45.txt
1.256; 1.255; 0; 0.001; 0; N/A; 0.328; 0; 0.004; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 24.2074; 24.2074; 24.2074; N/A; 0; 0; false; properties/0008__ti_k_neighborhood_proj__karypis_reviews__sparse__2000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_9_51.txt
1.262; 1.261; 0; 0.001; 0; N/A; 0.327; 0; 0.009; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 24.2074; 24.2074; 24.2074; N/A; 0; 0; false; properties/0008__ti_k_neighborhood_proj__karypis_reviews__sparse__2000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_9_58.txt
1.268; 1.267; 0; 0.001; 0; N/A; 0.328; 0; 0.009; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 24.2074; 24.2074; 24.2074; N/A; 0; 0; false; properties/0008__ti_k_neighborhood_proj__karypis_reviews__sparse__2000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_10_5.txt
1.258; 1.256; 0; 0.001; 0.001; N/A; 0.319; 0; 0.009; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 24.2074; 24.2074; 24.2074; N/A; 0; 0; false; properties/0008__ti_k_neighborhood_proj__karypis_reviews__sparse__2000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_10_12.txt
1.256; 1.255; 0; 0.001; 0; N/A; 0.323; 0; 0.009; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 24.2074; 24.2074; 24.2074; N/A; 0; 0; false; properties/0008__ti_k_neighborhood_proj__karypis_reviews__sparse__2000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_10_19.txt
2.813; 2.811; 0; 0.002; 0; N/A; 0.489; 0; 0.009; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 3000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 11.4018; 11.4018; 11.4018; N/A; 0; 0; false; properties/0009__ti_k_neighborhood_proj__karypis_reviews__sparse__3000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_10_26.txt
2.811; 2.809; 0; 0.002; 0; N/A; 0.474; 0; 0.013; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 3000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 11.4018; 11.4018; 11.4018; N/A; 0; 0; false; properties/0009__ti_k_neighborhood_proj__karypis_reviews__sparse__3000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_10_35.txt
2.813; 2.811; 0; 0.002; 0; N/A; 0.473; 0; 0.012; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 3000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 11.4018; 11.4018; 11.4018; N/A; 0; 0; false; properties/0009__ti_k_neighborhood_proj__karypis_reviews__sparse__3000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_10_44.txt
2.813; 2.811; 0; 0.002; 0; N/A; 0.484; 0; 0.015; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 3000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 11.4018; 11.4018; 11.4018; N/A; 0; 0; false; properties/0009__ti_k_neighborhood_proj__karypis_reviews__sparse__3000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_10_53.txt
2.829; 2.826; 0; 0.003; 0; N/A; 0.475; 0; 0.012; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 3000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 11.4018; 11.4018; 11.4018; N/A; 0; 0; false; properties/0009__ti_k_neighborhood_proj__karypis_reviews__sparse__3000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_11_1.txt
5.089; 5.086; 0; 0.003; 0; N/A; 0.647; 0; 0.009; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 4000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 31.9844; 31.9844; 31.9844; N/A; 0; 0; false; properties/0010__ti_k_neighborhood_proj__karypis_reviews__sparse__4000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_11_10.txt
5.09; 5.088; 0; 0.002; 0; N/A; 0.647; 0; 0.027; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 4000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 31.9844; 31.9844; 31.9844; N/A; 0; 0; false; properties/0010__ti_k_neighborhood_proj__karypis_reviews__sparse__4000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_11_22.txt
5.055; 5.053; 0; 0.002; 0; N/A; 0.659; 0; 0.027; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 4000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 31.9844; 31.9844; 31.9844; N/A; 0; 0; false; properties/0010__ti_k_neighborhood_proj__karypis_reviews__sparse__4000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_11_34.txt
5.089; 5.086; 0; 0.003; 0; N/A; 0.642; 0; 0.024; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 4000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 31.9844; 31.9844; 31.9844; N/A; 0; 0; false; properties/0010__ti_k_neighborhood_proj__karypis_reviews__sparse__4000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_11_45.txt
5.086; 5.083; 0; 0.003; 0; N/A; 0.654; 0; 0.025; classification; ti_k_neighborhood_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 4000; 126373; 0; sparse; [0]; dmax; d1; 10; binary; true; 5; N/A; 31.9844; 31.9844; 31.9844; N/A; 0; 0; false; properties/0010__ti_k_neighborhood_proj__karypis_reviews__sparse__4000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_11_57.txt
0.348; 0.245; 0; 0.101; 0.002; N/A; 0.288; 0; 0.167; classification; ti_k_neighborhood_ref_projection; false; datasets/dense_d55_r581012_covtype.txt; 10000; 55; 0; dense; [0]; dmax; d1; 10; binary; true; 5; N/A; 41.7971; 170.363; 541.394; N/A; 0; 0; false; properties/0011__ti_k_neighborhood_proj__covtype__dense__10000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_12_8.txt
0.46; 0.323; 0.001; 0.134; 0.002; N/A; 0.288; 0; 0.207; classification; ti_k_neighborhood_ref_projection; false; datasets/dense_d55_r581012_covtype.txt; 10000; 55; 0; dense; [0]; dmax; d1; 10; binary; true; 5; N/A; 41.7971; 170.363; 541.394; N/A; 0; 0; false; properties/0011__ti_k_neighborhood_proj__covtype__dense__10000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_12_19.txt
0.456; 0.32; 0; 0.133; 0.003; N/A; 0.284; 0; 0.207; classification; ti_k_neighborhood_ref_projection; false; datasets/dense_d55_r581012_covtype.txt; 10000; 55; 0; dense; [0]; dmax; d1; 10; binary; true; 5; N/A; 41.7971; 170.363; 541.394; N/A; 0; 0; false; properties/0011__ti_k_neighborhood_proj__covtype__dense__10000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_12_28.txt
0.43; 0.318; 0; 0.11; 0.002; N/A; 0.283; 0; 0.207; classification; ti_k_neighborhood_ref_projection; false; datasets/dense_d55_r581012_covtype.txt; 10000; 55; 0; dense; [0]; dmax; d1; 10; binary; true; 5; N/A; 41.7971; 170.363; 541.394; N/A; 0; 0; false; properties/0011__ti_k_neighborhood_proj__covtype__dense__10000__no_cos__10__binary_placement__K5__index_access__dmax.txt; logs/run_report_2013_1_31_1_12_38.txt
